track_id,track_name,artists,track_genre,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,popularity
5naar7XewEOAjOywIp6Jjq,Remember When,Wallows,indie-pop,0.504,0.708,0.51,0.00112,0.000424,0.788,0.0343,82.009,75
3QSm1p0T7v32OXzcQ70Imd,I Will Follow You into the Dark,Death Cab for Cutie,indie-pop,0.517,0.206,0.489,0.924,0.0,0.118,0.0421,80.401,0
69LsOTlcKFAlH2QDkEEhmO,White,Tim Halperin,acoustic,0.537,0.674,0.329,0.426,0.0,0.128,0.0284,92.049,39
31Fhqdoz9Qtp6nj9SWNIDf,Strawberries and Wine,Jaylon Ashaun,chill,0.726,0.618,0.374,0.481,0.0,0.0945,0.0571,110.068,54
3mDvi0k4LuCA7ViLf3Qb3O,Love,Matt White,acoustic,0.759,0.684,0.759,0.269,0.0,0.13,0.0315,107.948,60
4VoJCUgNmnqG2qF0peDBkw,Out of My League,Stephen Speaks,acoustic,0.538,0.315,0.4,0.96,0.00596,0.0979,0.0291,91.921,67
3Re0unscFRNOkwwEGtxhCO,Heaven - Acoustic,Grace George,acoustic,0.529,0.24,0.487,0.938,0.0,0.0659,0.037,131.266,54
1XtKDLAUMpkP7d5As2tMdo,Adrenaline,MASN,chill,0.604,0.767,0.662,0.0724,0.0,0.315,0.0567,166.912,55
7wUl1XlYSgHegSQzW84dK6,Mad at Disney,salem ilese,indie-pop,0.734,0.633,0.696,0.446,5.35e-06,0.741,0.0507,113.958,25
41SIHXoItJqYfl8B8klTrb,Held You Tight,Prateek Kuhad,singer-songwriter,0.675,0.54,0.562,0.00697,0.00529,0.231,0.0503,119.997,33
5IjTZ1g8KrIuV97N3OQZ0V,The House We Never Built,Gabrielle Aplin,acoustic,0.546,0.391,0.202,0.784,2.72e-06,0.0552,0.063,139.669,0
2Z8oSkHTEJedqb1rsgpLih,SOS - Acoustic Covers Versions,Covers Culture,acoustic,0.351,0.109,0.64,0.879,0.0,0.158,0.0435,76.851,26
6XrNrp7UtGgyZcHJ0ckL0w,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0.422,0.272,0.113,0.496,1.07e-05,0.0704,0.0353,143.413,49
5SfZiWzTMrIXHBrVhpa4IY,Attraction - Background Score,OAFF;Savera,indie-pop,0.426,0.414,0.0423,0.695,0.884,0.103,0.0541,114.888,42
2n40kGcCG499ckQwYNJnWp,Kaun Mera,Papon,folk,0.601,0.407,0.108,0.71,0.00149,0.119,0.0288,95.95,38
5P6ZBMWS66FVo6deJaDdHy,Dust to Dust,The Civil Wars,acoustic,0.747,0.265,0.2,0.745,0.0169,0.11,0.0354,138.017,49
6ql0ffq6Jvyh9OKqrJCMaP,In the Shadows,Amy Stroup,acoustic,0.434,0.469,0.0568,0.52,0.000328,0.108,0.0265,136.282,46
27wq82gy6a868oA5HNLRGv,Photographs,Eddie Vedder,acoustic,0.539,0.353,0.321,0.571,0.626,0.0877,0.0464,54.571,51
2wrKKhL0tTEbkbFPnIFq8u,Is Pal,Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Piyush Mishra,folk,0.674,0.494,0.595,0.942,0.0908,0.105,0.0342,124.978,41
2fPb58e6f8KxejYDCaARwS,Say Something,A Great Big World,acoustic,0.447,0.158,0.142,0.872,1.58e-06,0.0816,0.036,140.942,57
2gJ3ZOaiWr3jGHwevufOxr,Ain't No Reason,Brett Dennen,acoustic,0.615,0.358,0.432,0.705,0.0,0.113,0.0552,146.06,57
0CwLue2qwkPcQpovNGNtVx,i looked into your eyes,Sky McCreery,chill,0.475,0.0989,0.3,0.853,0.0,0.271,0.0474,133.713,68
5pT0eVpi7qZuqCFtqcErQX,Opera Reload,Living Room,jazz,0.373,0.48,0.345,0.307,0.855,0.731,0.0326,79.988,0
6s1AU3GCP1FWWtmADl4B2P,Midnight River,Pink Sweat$;6LACK,chill,0.497,0.351,0.234,0.777,0.0,0.167,0.0648,171.719,0
0m3TWCaiuyy3odkc8ZCOl5,Christmas All Over Again,Tom Petty and the Heartbreakers,folk,0.44,0.838,0.619,0.0956,0.0,0.473,0.0423,138.908,0
