track_id,track_name,artists,track_genre,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,popularity
0trVnybi3L9TLXvMgSYoYG,Settled Down,Watchhouse,bluegrass,0.599,0.294,0.308,0.851,0.0384,0.102,0.0279,118.207,55
52C6LHzXagtDAfa7N9EGST,Jingle Bells,Brian Culbertson,jazz,0.664,0.744,0.463,0.284,0.858,0.937,0.0543,95.138,0
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,country,0.369,0.192,0.148,0.555,8.35e-06,0.0954,0.04,175.212,89
1IgtHMtJcoGSE5gHqC1diy,Sleigh Ride,Ella Fitzgerald,blues,0.593,0.287,0.639,0.764,0.0,0.153,0.0469,77.117,0
4Lq2eCJPkusiiLBfoD05d0,Born Ready,Zayde Wølf,blues,0.432,0.866,0.353,0.0813,0.0,0.115,0.0657,68.039,54
3xsYZOaajjyJouOEuKIeo7,We Just Disagree,Billy Dean,bluegrass,0.358,0.624,0.567,0.224,0.0,0.0945,0.0281,93.863,28
2SLLm0Dt3JHr0IEREeH0kj,Help You,Trampled by Turtles,bluegrass,0.398,0.78,0.772,0.242,0.0,0.342,0.0359,149.503,34
6PrnqAkxifshpNad1rFk5t,Gay Messiah,Rufus Wainwright,piano,0.373,0.438,0.411,0.563,0.000109,0.355,0.0297,139.331,0
55FUCDgGRlKY1GtfisHqR1,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Camila Cabello,country,0.745,0.598,0.789,0.129,0.0,0.678,0.0975,148.906,0
6j7QJN8zuRMYMnB4MpduXL,Aggini Endrariyayo,M. S. Subbulakshmi,classical,0.552,0.13,0.356,0.996,0.699,0.127,0.103,61.913,32
6lyKOW0FNW6aAZdKVgoM8m,Good Time,Alan Jackson,country,0.652,0.767,0.73,0.0355,6.92e-06,0.397,0.0372,132.017,71
0AImaoLL03GspnSYyhh5Pd,Mele Kalikimaka - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Zooey Deschanel,country,0.78,0.5,0.717,0.571,0.0,0.718,0.0468,109.912,0
7kSaXrHANOFv8iXgh2gvgA,The Folks Who Live on the Hill - Live,Brad Mehldau,jazz,0.422,0.0793,0.119,0.958,0.878,0.713,0.0487,139.312,42
6peFJMhlZsmPf85LJx5DBp,In The Name Of Love - Acoustic,Gavin Mikhail;The Cameron Collective,piano,0.615,0.483,0.503,0.892,0.0,0.175,0.0351,133.917,36
0Qi2JkCpl4VrTVC6UqxSGX,You're Still The One,Shania Twain,country,0.558,0.54,0.654,0.501,0.0,0.252,0.0305,133.774,0
2IGLgLzFxFUiDnGjshugWZ,Cumberland Gap,Flatt & Scruggs,bluegrass,0.396,0.903,0.974,0.209,0.791,0.232,0.0332,151.121,27
6qJ6JSZA2vVQh8k9XbBgYy,"Six German Dances, K.571: No. 5 in B flat",Wolfgang Amadeus Mozart;Sarband;Vladimir Ivanoff;Concerto Köln;Werner Ehrhardt,classical,0.565,0.201,0.617,0.951,0.316,0.183,0.0465,100.731,2
2QV0SPhmLDd9jqshZRnLY5,A Gentle Sunlight,James Quinn,piano,0.317,0.0349,0.12,0.993,0.806,0.117,0.037,74.547,62
3OPefQtYkLSsrsjfcHbl7C,Mis Noches Sin Ti,Los Fredy´s,rock-n-roll,0.658,0.686,0.607,0.697,0.0,0.13,0.034,116.169,31
2gEBJ6WqblmOMqeInAolHw,"It Might As Well Be Spring - Live At Carnegie Hall, NY / 1964",Stan Getz;Astrud Gilberto;João Gilberto,jazz,0.361,0.116,0.387,0.924,3.57e-06,0.739,0.0432,84.414,0
2vruwVOlDYYftyt7v2QddO,Beki Miri,Amadou & Mariam,blues,0.599,0.675,0.7,0.205,0.00297,0.113,0.0568,173.713,0
7giEzSsPzYuyCvRgoRijkF,Sleigh Ride,Ella Fitzgerald,blues,0.593,0.287,0.639,0.764,0.0,0.153,0.0469,77.117,0
0RL85lThYJR9XA0fiVIly7,Wings,Wood Belly,bluegrass,0.606,0.691,0.659,0.319,0.0418,0.27,0.0291,131.035,22
6bGyX75xUytV0Ze8CY18UR,Santa Claus Is Coming To Town,Bill Evans,jazz,0.62,0.31,0.649,0.672,0.0954,0.14,0.0446,92.421,0
6rO4q60h6NpNRDXMaRqvRN,Rampage,The Phantoms;7kingZ,blues,0.707,0.903,0.55,0.00257,2.19e-05,0.299,0.0559,129.957,30
