track_id,track_name,artists,track_genre,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,popularity
4d3tiblcaqGdji7XvPGHiq,Malwa Block,Sidhu Moose Wala,hip-hop,0.494,0.786,0.594,0.165,0.0,0.783,0.284,81.175,63
2V1BrpHiHIJTtzBBvjWSTH,Nothing to Hide,Cosmic Gate;Diana Miro,techno,0.557,0.723,0.158,0.00557,0.00133,0.151,0.0501,122.998,48
12yj178KaJo8PrddT0StaL,What's Up,Gaullin;Lucky Luke,electronic,0.739,0.845,0.839,0.00155,0.0107,0.775,0.0397,121.997,63
3Sgw46k6J4c00Y9XY0xzk1,Lonely,Yellow Claw;Weird Genius;Novia Bachmid,electronic,0.644,0.671,0.463,0.0149,0.00036,0.102,0.0341,149.944,49
55ooQEIaTeaBCmAyrvNfCx,Warrior,D-Attack;REVIVE;Ihaka,hardstyle,0.481,0.926,0.162,0.0269,0.0,0.347,0.175,160.035,25
5y8DBJkNfWYPpXUWQmPscR,What's the Use?,Mac Miller,hip-hop,0.759,0.492,0.561,0.736,0.0102,0.107,0.12,104.973,0
72ZqwPX063K6z7f6GZX4bU,Wolf - Judge Bitch Remix,Power Glove;Judge Bitch,club,0.541,0.759,0.455,0.00427,0.891,0.372,0.056,130.017,16
1JPKOVCKWlmJo2oHhR93GA,Therapy,Original Sin,drum-and-bass,0.345,0.952,0.0925,0.00941,0.896,0.116,0.0777,175.007,22
5gSVKG0R4xc8qtDIoyDNy8,Saada Pyaar,AP Dhillon;Gurinder Gill;Money Musik,hip-hop,0.743,0.655,0.164,0.0391,0.0,0.118,0.0866,91.004,69
3b9hajyERrBTokqFMJbxdZ,Something Else,Hozho,techno,0.674,0.864,0.197,0.00514,0.858,0.136,0.0428,127.02,45
6o5MqN9TJ7SSBo9pRTMZpa,Come Together,Murdock;Pat Fulgoni,drum-and-bass,0.322,0.942,0.0825,0.000205,0.000108,0.159,0.137,174.13,15
63CIZNPyppJJSlMcK3aHVg,DISCONNECT,KLOUD,club,0.573,0.874,0.0955,0.0277,2.84e-06,0.238,0.0373,110.964,43
0a1UxIZ5WqPWbKHFa5zbm4,One More Dance (with Alida),R3HAB;Alida,house,0.726,0.761,0.558,0.162,0.00122,0.0879,0.0432,123.954,44
6U3KzIa82ZCKAROmpg7PqT,The End,A.M.C,drum-and-bass,0.568,0.995,0.4,0.000282,0.213,0.788,0.216,172.021,18
0E5TS3JXZUilFvzRGIEDRX,Good Riddance (Time Of Your Life) (Glee Cast Version),Glee Cast,club,0.345,0.351,0.457,0.713,0.0,0.0876,0.0343,96.538,16
5pBiHklTQ5ATW1RXeL1Iwk,If You're Over Me,Years & Years,edm,0.631,0.853,0.614,0.0622,0.0,0.0603,0.0912,103.834,0
1gPJ3F2p8rwhlzr1AF58W7,Sientelo,Mefjus;Camo & Krooked,drum-and-bass,0.528,0.934,0.41,0.00308,0.00614,0.084,0.168,174.91,58
5HmEVQ0q6wXDDOaBjTNcBL,Tu Juego,Miranda!,electronic,0.788,0.828,0.932,0.037,2.1e-05,0.12,0.0425,122.996,43
24KWR3ATrrVO7oRju8ww2i,Turn Up The Love,Far East Movement;Cover Drive,edm,0.75,0.877,0.662,0.132,0.0,0.268,0.121,123.87,0
4NKRjU7Sz9kbw8nDFUjaKW,Mundo Real,Alex & Daniel,electronic,0.716,0.701,0.927,0.119,7.68e-05,0.361,0.033,104.018,35
4qZunfvjc2ggn2iYlyhLnv,Attention,Frequencerz;E-Force,hardstyle,0.39,0.932,0.455,0.0112,1.33e-06,0.42,0.345,148.92,23
1bWm3k2gzhB8DFZYwfljyH,Gallist - Serum Remix,Top Cat;Serum,drum-and-bass,0.71,0.981,0.392,0.000783,0.0279,0.353,0.0621,87.508,21
4I4p4iwxzFzdiz1WOZdZk7,Luna Llena,Arca,club,0.689,0.605,0.162,0.0799,0.0685,0.191,0.0737,96.991,52
10LesMfLb1Kv8FwOLHxDVA,Overloader,MYST,hardstyle,0.471,0.988,0.41,0.003,0.000312,0.933,0.0689,154.866,47
2soTlz7cgeeZ62eCRyScLN,By Your Side,Dj Thera;Nova Jae,hardstyle,0.49,0.874,0.627,0.132,0.0544,0.194,0.0388,155.023,43
